Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Haunted,"Palahniuk, Chuck",,,,,Utah,Washington County School District,Mar-23,Banned from Libraries and Classrooms,Administration
Home (TL),"Lemm, Trinity",,,,,Utah,Washington County School District,Mar-23,Banned from Libraries and Classrooms,Administration
Homegoing,"Gyasi, Yaa",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Life is Funny,"Frank, E. R.",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
Like a Love Story,"Nazemian, Abdi",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
Living Dead Girl,"Scott, Elizabeth",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Loving Frank,"Horan, Nancy",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
Lucky,"Sebold, Alice",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Man o' War,"McCarthy, Cory",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
Milk and Honey,"Kaur, Rupi",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
Nineteen Minutes,"Picoult, Jodi",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Informal Challenge
Normal People,"Rooney, Sally",,,,,Utah,Washington County School District,Jun-23,Banned Pending Investigation,Administration
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Utah,Washington County School District,Sep-22,Banned from Libraries and Classrooms,Informal Challenge
People Kill People,"Hopkins, Ellen",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Private Label,"Yang, Kelly",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
Push,Sapphire,,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Rant: The Oral Biography of Buster Casey,"Palahniuk, Chuck",,,,,Utah,Washington County School District,Mar-23,Banned from Libraries and Classrooms,Administration
Red Hood,"Arnold, Elana K.",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
S.E.X.: The All-You-Need-To-Know Progressive Sexuality Guide to Get You Through High School and College,"Corinna, Heather",,,,,Utah,Washington County School District,Mar-23,Banned from Libraries and Classrooms,Administration
Shine,"Myracle, Lauren",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
Snow Flower and the Secret Fan,"See, Lisa",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
Sold,"McCormick, Patricia",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
The Art of Racing in the Rain,"Stein, Garth",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
The Bluest Eye,"Morrison, Toni",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
The Carnival at Bray,"Foley, Jessie Ann",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
The Cost of Knowing,"Morris, Brittney",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
The Freedom Writers Diary,"Gruwell, Erin",The Freedom Writers,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale,"Atwood, Margaret",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Utah,Washington County School District,Dec-22,Banned from Libraries and Classrooms,Informal Challenge
The Haters,"Andrews, Jesse",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Administration
This Book Is Gay,"Dawson, Juno",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Tilt,"Hopkins, Ellen",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Triangles,"Hopkins, Ellen",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Tricks,"Hopkins, Ellen",,,,Tricks,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Water for Elephants,"Gruen, Sara",,,,,Utah,Washington County School District,Jun-23,Banned Pending Investigation,Administration
What Girls Are Made Of,"Arnold, Elana K.",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Where I End and You Begin,"Norton, Preston",,,,,Utah,Washington County School District,Dec-22,Banned from Libraries and Classrooms,Informal Challenge
Wicked: The Life and Times of the Wicked Witch of the West,"Maguire, Gregory",,,,The Wicked Years,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
The Bluest Eye,"Morrison, Toni",,,,,New Jersey,Washington Township High School,Nov-22,Banned from Classrooms,Informal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",,,,,New York,Washingtonville Central School District,Sep-22,Banned Pending Investigation,Informal Challenge
Almost American Girl,"Ha, Robin",,,,,New Jersey,Watchung Borough School District,May-23,Banned from Classrooms,Informal Challenge
"Be Gay, Do Comics: Queer History, Memoir, and Satire",The Nib,,,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Breakfast of Champions,"Vonnegut Jr., Kurt",,,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Flamer,"Curato, Mike",,,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Home After Dark,"Small, David",,,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Lighter Than My Shadow,"Green, Katie",,,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Milk and Honey,"Kaur, Rupi",,,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
The Handmaid's Tale: The Graphic Novel,"Atwood, Margaret",,"Nault, Renee",,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
The Sun and Her Flowers,"Kaur, Rupi",,,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Watchmen,"Moore, Alan",,"Gibbons, Dave",,Watchmen Comics,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
Zahra's Paradise,Amir,,Khalil,,,Missouri,Webster Groves School District,Sep-22,Banned from Libraries,Legislative Action
"1001 Comics You Must Read Before You Die: The Ultimate Guide to Comic Books, Graphic Novels, and Manga","Gravett, Paul",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
50 Artists You Should Know,"Köster, Thomas","Röper, Lars",,,50 You Should Know,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
50 Paintings You Should Know,"Lowis, Kristina","Pickeral, Tamsin",,,50 You Should Know,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
50 Sculptures You Should Know,"Kühl, Isabel","Reichold, Klaus",,,50 You Should Know,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
50 Women Artists You Should Know,"Weidemann, Christiane","Larass, Petra; Klier, Melanie",,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
A Brief History of Manga,"McCarthy, Helen",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
A Gift for a Ghost,"González, Borja",,,"Douglas, Lee",,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
A History of Art,"Perdew, Laura",,,,Essential Library of Cultural History,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
A Map to the Sun,"Leong, Sloane",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
A Story about Cancer with a Happy Ending,"Desjardins, India",,"Ferrer, Marianne","Ouellet, Solange",,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
African Art: An Introduction,"Willett, Frank",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Alan Moore's America's Best Comics,"Moore, Alan",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
All-Action Classics No. 3: The Odyssey,Homer,"Mucci, Tim","Caldwell, Ben; Tenderini, Emanuel; Lacy, Rick",,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"Altered Carbon: One Life, One Death","Morgan, Richard K.","Wilson, Scott Bryan",,"Fuchs, Max",Altered Carbon,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
An Introduction to Drawing: An Artist's Guide to Skills & Techniques,"Hazlewood, Robin",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
An Introduction to Oil Painting,"Smith, Ray",,,,DK Art School,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
An Introduction to Watercolor,"Smith, Ray",,,,DK Art School,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
André Kertész,"Greenough, Sarah","Gurbo, Robert; Kennel, Sarah",,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Animal Stories,"Hoey, Peter","Hoey, Maria",,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Art That Changed the World,"Chilvers, Ian","Zaczek, Iain; Welton, Jude; Bugler, Caroline; Mack, Lorrie",,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Art: A World History,"Buchholz, Elke Linda","Kaeppele, Susanne; Hille, Karoline; Stotland, Irina; Buhler, Gerhard",,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Art: Annotated Guides,"Cumming, Robert",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Assassination Classroom,"Matsui, Yūsei",,,,Assassination Classroom,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Babylonian Mythology,"Nardo, Don",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Batman: The Dark Knight Strikes Again,"Miller, Frank","Varley, Lynn",,,The Dark Knight Saga,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Beasts of Burden: Animal Rites,"Dorkin, Evan","Thompson, Jill",,,Beasts of Burden,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"Black Butler, Vol. 29","Toboso, Yana",,,,Black Butler,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Black Magick: Awakening,"Rucka, Greg",,"Scott, Nicola",,Black Magick,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Black Road: The Holy North,"Wood, Brian",,"Brown, Garry",,Black Road,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Blackbird: Book 1 The Great Beast,"Humphries, Sam",,"Bartel, Jen",,Blackbird,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Bloodlust and Bonnets,"McGovern, Emily",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Blues: A History of American Music,"Handyside, Christopher",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Body Talk: 37 Voices Explore Our Radical Anatomy,"Jensen, Kelly",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"Bone Parish, Vol. 1","Bunn, Cullen",,"Scharf, Jonas; Guimaraes, Alex",,Bone Parish Series,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"Bone Parish, Vol. 2","Bunn, Cullen",,"Scharf, Jonas; Guimaraes, Alex",,Bone Parish Series,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"Bone Parish, Vol. 3","Bunn, Cullen",,"Scharf, Jonas; Guimaraes, Alex",,Bone Parish Series,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Bosch: The Garden of Earthly Delights,"Zuffi, Stefano",,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Brazen: Rebel Ladies Who Rocked the World,"Bagieu, Pénélope",,,"Kane, Montana",,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Cezanne: Mont Sainte Victoire,"Zeri, Federico",,,,One Hundred Paintings,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Chagall: The Falling Angel,"Zeri, Federico",,,,One Hundred Paintings,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Chaucer's Canterbury Tales,"Williams, Marcia","Chaucer, Geoffrey",,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
Complete Guide to Drawing and Painting,Reader's Digest Editors,,,,,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"Coyotes, Vol. 1","Lewis, Sean",,"Yarsky, Caitlin",,Coyotes,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
"Coyotes, Vol. 2","Lewis, Sean",,"Yarsky, Caitlin",,Coyotes,Missouri,Wentzville School District,Sep-22,Banned Pending Investigation,Legislative Action
